date,repo_rate,reverse_repo_rate,msf_rate,bank_rate,repo_reverse_spread,call_rate,cp_rate_3m,cd_rate_3m,tbill_91d,repo_call_spread,cp_repo_spread,yield_curve_slope
2019-01-01,6.25,6.0,6.5,6.5,0.25,6.05,6.73,6.63,6.07,0.20000000000000018,0.4800000000000004,0.6600000000000001
2019-01-02,6.25,6.0,6.5,6.5,0.25,5.98,6.71,6.74,6.01,0.2699999999999996,0.45999999999999996,0.7000000000000002
2019-01-03,6.25,6.0,6.5,6.5,0.25,5.95,6.83,6.49,5.91,0.2999999999999998,0.5800000000000001,0.9199999999999999
2019-01-04,6.25,6.0,6.5,6.5,0.25,6.02,6.46,6.34,5.91,0.23000000000000043,0.20999999999999996,0.5499999999999998
2019-01-05,6.25,6.0,6.5,6.5,0.25,5.9,6.8,6.44,5.84,0.34999999999999964,0.5499999999999998,0.96
2019-01-06,6.25,6.0,6.5,6.5,0.25,6.15,6.72,6.56,5.84,0.09999999999999964,0.46999999999999975,0.8799999999999999
2019-01-07,6.25,6.0,6.5,6.5,0.25,5.95,6.77,6.41,5.98,0.2999999999999998,0.5199999999999996,0.7899999999999991
2019-01-08,6.25,6.0,6.5,6.5,0.25,5.94,6.71,6.48,6.1,0.3099999999999996,0.45999999999999996,0.6100000000000003
2019-01-09,6.25,6.0,6.5,6.5,0.25,6.0,6.59,6.65,5.85,0.25,0.33999999999999986,0.7400000000000002
2019-01-10,6.25,6.0,6.5,6.5,0.25,6.02,6.46,6.39,5.97,0.23000000000000043,0.20999999999999996,0.4900000000000002
2019-01-11,6.25,6.0,6.5,6.5,0.25,6.07,6.78,6.54,5.93,0.17999999999999972,0.5300000000000002,0.8500000000000005
2019-01-12,6.25,6.0,6.5,6.5,0.25,5.85,6.64,6.49,6.03,0.40000000000000036,0.3899999999999997,0.6099999999999994
2019-01-13,6.25,6.0,6.5,6.5,0.25,6.03,6.49,6.59,5.92,0.21999999999999975,0.2400000000000002,0.5700000000000003
2019-01-14,6.25,6.0,6.5,6.5,0.25,5.93,6.84,6.67,6.02,0.3200000000000003,0.5899999999999999,0.8200000000000003
2019-01-15,6.25,6.0,6.5,6.5,0.25,5.92,6.7,6.59,6.03,0.33000000000000007,0.4500000000000002,0.6699999999999999
2019-01-16,6.25,6.0,6.5,6.5,0.25,5.95,6.72,6.42,5.85,0.2999999999999998,0.46999999999999975,0.8700000000000001
2019-01-17,6.25,6.0,6.5,6.5,0.25,6.08,6.95,6.54,6.03,0.16999999999999993,0.7000000000000002,0.9199999999999999
2019-01-18,6.25,6.0,6.5,6.5,0.25,6.04,6.65,6.59,6.07,0.20999999999999996,0.40000000000000036,0.5800000000000001
2019-01-19,6.25,6.0,6.5,6.5,0.25,6.0,6.98,6.24,6.02,0.25,0.7300000000000004,0.9600000000000009
2019-01-20,6.25,6.0,6.5,6.5,0.25,6.01,6.71,6.56,5.79,0.2400000000000002,0.45999999999999996,0.9199999999999999
2019-01-21,6.25,6.0,6.5,6.5,0.25,5.98,6.8,6.73,5.91,0.2699999999999996,0.5499999999999998,0.8899999999999997
2019-01-22,6.25,6.0,6.5,6.5,0.25,5.92,6.67,6.66,5.98,0.33000000000000007,0.41999999999999993,0.6899999999999995
2019-01-23,6.25,6.0,6.5,6.5,0.25,5.95,6.83,6.56,6.03,0.2999999999999998,0.5800000000000001,0.7999999999999998
2019-01-24,6.25,6.0,6.5,6.5,0.25,5.93,6.7,6.5,5.83,0.3200000000000003,0.4500000000000002,0.8700000000000001
2019-01-25,6.25,6.0,6.5,6.5,0.25,6.03,6.79,6.55,5.93,0.21999999999999975,0.54,0.8600000000000003
2019-01-26,6.25,6.0,6.5,6.5,0.25,5.86,6.69,6.51,5.89,0.3899999999999997,0.4400000000000004,0.8000000000000007
2019-01-27,6.25,6.0,6.5,6.5,0.25,5.98,6.81,6.78,5.96,0.2699999999999996,0.5599999999999996,0.8499999999999996
2019-01-28,6.25,6.0,6.5,6.5,0.25,6.03,6.74,6.32,5.95,0.21999999999999975,0.4900000000000002,0.79
2019-01-29,6.25,6.0,6.5,6.5,0.25,6.01,7.12,6.53,5.97,0.2400000000000002,0.8700000000000001,1.1500000000000004
