date,repo_rate,reverse_repo_rate,msf_rate,bank_rate,repo_reverse_spread,call_rate,cp_rate_3m,cd_rate_3m,tbill_91d,repo_call_spread,cp_repo_spread,yield_curve_slope,repo_volatility,call_volatility,repo_ma_30,repo_ma_90,repo_change,repo_sma_30,repo_sma_90,repo_volatility_30,repo_momentum
2019-01-01,6.25,6.0,6.5,6.5,0.25,6.05,6.73,6.63,6.07,0.2000000000000001,0.4800000000000004,0.6600000000000001,,,,,,,,,
2019-01-02,6.25,6.0,6.5,6.5,0.25,5.98,6.71,6.74,6.01,0.2699999999999996,0.4599999999999999,0.7000000000000002,,,,,0.0,,,,
2019-01-03,6.25,6.0,6.5,6.5,0.25,5.95,6.83,6.49,5.91,0.2999999999999998,0.5800000000000001,0.92,,,,,0.0,,,,
2019-01-04,6.25,6.0,6.5,6.5,0.25,6.02,6.46,6.34,5.91,0.2300000000000004,0.2099999999999999,0.5499999999999998,,,,,0.0,,,,
2019-01-05,6.25,6.0,6.5,6.5,0.25,5.9,6.8,6.44,5.84,0.3499999999999996,0.5499999999999998,0.96,,,,,0.0,,,,
2019-01-06,6.25,6.0,6.5,6.5,0.25,6.15,6.72,6.56,5.84,0.0999999999999996,0.4699999999999997,0.8799999999999999,,,,,0.0,,,,
2019-01-07,6.25,6.0,6.5,6.5,0.25,5.95,6.77,6.41,5.98,0.2999999999999998,0.5199999999999996,0.7899999999999991,,,,,0.0,,,,
2019-01-08,6.25,6.0,6.5,6.5,0.25,5.94,6.71,6.48,6.1,0.3099999999999996,0.4599999999999999,0.6100000000000003,,,,,0.0,,,,
2019-01-09,6.25,6.0,6.5,6.5,0.25,6.0,6.59,6.65,5.85,0.25,0.3399999999999998,0.7400000000000002,,,,,0.0,,,,
2019-01-10,6.25,6.0,6.5,6.5,0.25,6.02,6.46,6.39,5.97,0.2300000000000004,0.2099999999999999,0.4900000000000002,,,,,0.0,,,,
2019-01-11,6.25,6.0,6.5,6.5,0.25,6.07,6.78,6.54,5.93,0.1799999999999997,0.5300000000000002,0.8500000000000005,,,,,0.0,,,,
2019-01-12,6.25,6.0,6.5,6.5,0.25,5.85,6.64,6.49,6.03,0.4000000000000003,0.3899999999999997,0.6099999999999994,,,,,0.0,,,,
2019-01-13,6.25,6.0,6.5,6.5,0.25,6.03,6.49,6.59,5.92,0.2199999999999997,0.2400000000000002,0.5700000000000003,,,,,0.0,,,,
2019-01-14,6.25,6.0,6.5,6.5,0.25,5.93,6.84,6.67,6.02,0.3200000000000003,0.5899999999999999,0.8200000000000003,,,,,0.0,,,,
2019-01-15,6.25,6.0,6.5,6.5,0.25,5.92,6.7,6.59,6.03,0.33,0.4500000000000002,0.6699999999999999,,,,,0.0,,,,
2019-01-16,6.25,6.0,6.5,6.5,0.25,5.95,6.72,6.42,5.85,0.2999999999999998,0.4699999999999997,0.8700000000000001,,,,,0.0,,,,
